Section,ID,Scenario,Steps,Expected result,Result,Notes
Basic search and discovery,S1.1,Empty search returns samples,"GET /biosamples/samples (no text, no filter)",200; list of samples (cursor or first page); total count ≥ 0,,
Basic search and discovery,S1.2,Empty search with cursor,GET /biosamples/samples?cursor=*&size=10,200; up to 10 samples; next link present if more results,,
Basic search and discovery,S1.3,Free-text search,GET /biosamples/samples?text=human,"200; samples relevant to ""human"" (e.g. organism/attributes); results consistent with docs",,
Basic search and discovery,S1.4,Phrase search,"GET /biosamples/samples?text=""breast cancer""","200; samples matching phrase ""breast cancer"" as documented",,
Basic search and discovery,S1.5,Boolean query,GET /biosamples/samples?text=NOT Leukemia AND (mouse OR human),200; results match boolean logic per Search guide,,EXPERIMENTAL
Basic search and discovery,S1.6,Wildcard (mid/end of word),GET /biosamples/samples?text=leuk*mia,"200; matches e.g. leukemia, leukaemia; no wildcard at start of word required by docs",,EXPERIMENTAL
Basic search and discovery,S1.7,Date range in text,GET /biosamples/samples?text=updatedate:[2014-04-01 TO 2014-04-04],200; samples updated in that range (if supported by backend),,
Attribute and accession filters,S2.1,Attribute filter (type only),GET /biosamples/samples?filter=attr:project,"200; only samples that have attribute ""project""",,
Attribute and accession filters,S2.2,Attribute filter (type + value),GET /biosamples/samples?filter=attr:organism:Homo sapiens,200; samples with organism = Homo sapiens (case-sensitive per docs),,
Attribute and accession filters,S2.3,Multiple attribute values (OR),GET /biosamples/samples?filter=attr:project:FAANG&filter=attr:project:HipSci,200; samples in FAANG or HipSci (per filters doc),,
Attribute and accession filters,S2.4,Accession exact,GET /biosamples/samples?filter=acc:SAMEA341514,200; at most one sample; accession SAMEA341514 if exists,,
Attribute and accession filters,S2.5,Accession pattern (NCBI),GET /biosamples/samples?filter=acc:SAMN.*,200; only samples with accessions matching SAMN.*,,
Attribute and accession filters,S2.6,Accessions endpoint with filter,GET /biosamples/accessions?filter=attr:organism:homo%20sapiens&size=100,200; list of accessions; same filter semantics as samples,,
Date relationship and external reference filters,S3.1,Date range – release,GET /biosamples/samples?filter=dt:release:from=2014-01-01T00:00:00until=2015-01-01,200; samples released in range (ISO8601/UTC),,
Date relationship and external reference filters,S3.2,Date range – update,GET /biosamples/samples?filter=dt:update:from=2018-01-01,200; samples updated on or after 2018-01-01,,
Date relationship and external reference filters,S3.3,Relationship filter,GET /biosamples/samples?filter=rel:derived+from:SAMEA7992418,"200; samples that have ""derived from"" relationship to given accession",,
Date relationship and external reference filters,S3.4,Inverse relationship,GET /biosamples/samples?filter=rrel:has+member:SAMEG316651,"200; samples that are target of ""has member"" from given accession",,
Date relationship and external reference filters,S3.5,External reference – archive only,GET /biosamples/samples?filter=extd:ENA,200; samples with at least one ENA external reference,,
Date relationship and external reference filters,S3.6,External reference – archive + id,GET /biosamples/samples?filter=extd:ENA:SRS359918,200; samples linked to ENA accession SRS359918,,
Date relationship and external reference filters,S3.7,Name filter,GET /biosamples/samples?filter=name:<known_sample_name>,200; samples matching name (case-sensitive per docs),,
Pagination and sort,S4.1,Page-based pagination,GET /biosamples/samples?page=0&size=20 then page=1&size=20,200; first 20 then next 20; no duplicate accessions across pages,,
Pagination and sort,S4.2,Cursor-based pagination,GET /biosamples/samples?cursor=*&size=20; then use next link cursor for next page,"200; stable ordering; no duplicates; cursor format update, accession (or as returned)",,
Pagination and sort,S4.3,Sort by update desc,"GET /biosamples/samples?page=0&size=10&sort=update,desc",200; results ordered by update date descending,,
Pagination and sort,S4.4,Sort by accession asc,"GET /biosamples/samples?page=0&size=10&sort=accession,asc",200; results ordered by accession ascending,,
Pagination and sort,S4.5,Pagination limits,GET /biosamples/samples?page=501&size=20,400 or 4xx; pagination exception (page > 500),,
Pagination and sort,S4.6,Size limit (page),GET /biosamples/samples?page=0&size=201,400 or 4xx; size > 200 rejected for page-based,,
Combined text + filters,S5.1,Text + attribute filter,GET /biosamples/samples?text=human&filter=attr:project:FAANG,"200; samples matching ""human"" and in project FAANG",,
Combined text + filters,S5.2,Text + date filter,GET /biosamples/samples?text=cancer&filter=dt:update:from=2020-01-01,"200; samples matching ""cancer"" and updated since 2020-01-01",,
Combined text + filters,S5.3,Multiple filters (AND),GET /biosamples/samples?filter=attr:organism:Homo sapiens&filter=attr:project:HipSci,200; samples that satisfy both filters,,
Content negotiation and representation,S6.1,HAL+JSON,GET /biosamples/samples?size=5 with Accept: application/hal+json,"200; HAL collection with _embedded, _links",,
Content negotiation and representation,S6.2,JSON,GET /biosamples/samples?size=5 with Accept: application/json,200; JSON collection (HAL or plain list per implementation),,
Content negotiation and representation,S6.3,applyCurations=true,GET /biosamples/samples?size=5&applyCurations=true,200; samples include applied curations,,
Content negotiation and representation,S6.4,applyCurations=false,GET /biosamples/samples?size=5&applyCurations=false,200; samples without curations applied,,
Authentication and visibility (if WEBIN available),S7.1,Unauthenticated – no private samples,GET /biosamples/samples?text=<name_of_private_sample> (no auth),200; private sample not in results,,
Authentication and visibility (if WEBIN available),S7.2,Authenticated – own private samples,GET /biosamples/samples with WEBIN Bearer token,200; submitter's private/draft samples appear where applicable,,
Authentication and visibility (if WEBIN available),S7.3,Domain filter (authenticated),GET /biosamples/samples?filter=dom:self.<domain> with valid auth,200; only samples in that domain (per docs),,
Structured data filter (if supported in ES),S8.1,Structured data type filter,"GET /biosamples/samples?filter=strd:<data_type> (e.g. AMR, CHICKEN_DATA)",200; samples that have structured data of that type,,
Error and edge cases,S9.1,Invalid filter format,GET /biosamples/samples?filter=invalid:filter,400 or 4xx with clear error message,,
Error and edge cases,S9.2,biosamples-search unavailable,Stop biosamples-search; GET /biosamples/samples,500 or 503; no silent fallback to stale data; error logged,,
Error and edge cases,S9.3,Empty result set,GET /biosamples/samples?text=nonexistentterm12345&filter=acc:SAMN99999999,200; empty list; total count 0; valid links,,
Elasticsearch-specific acceptance,S10.1,Cursor stability,Same query twice with cursor pagination; compare first two pages,Same accessions in same order (no flip-flop between requests),,
